Date,Value,Quality,Size,Default,Real Yield,Yield Curve
2020-02-20,90.19000244140625,104.73999786376953,100.95999908447266,102.66500091552734,-0.11,0.13
2020-02-21,89.27999877929688,103.7300033569336,99.95999908447266,102.74500274658203,-0.15,0.12
2020-02-24,86.08000183105469,100.1500015258789,96.91000366210938,102.62000274658203,-0.21,0.12
2020-02-25,82.9800033569336,97.08999633789062,93.69000244140625,102.31999969482422,-0.2,0.13
2020-02-26,82.11000061035156,96.87999725341797,92.62999725341797,102.4010009765625,-0.21,0.17
2020-02-27,78.66000366210938,92.76000213623047,88.87999725341797,102.1449966430664,-0.23,0.19
2020-02-28,78.0199966430664,91.94999694824219,87.87000274658203,102.63999938964844,-0.28,0.27
2020-03-02,81.12999725341797,96.0199966430664,91.01000213623047,102.36000061035156,-0.31,0.26
2020-03-03,78.51000213623047,93.13999938964844,88.83000183105469,102.61000061035156,-0.43,0.31
2020-03-04,81.5999984741211,96.7699966430664,92.16999816894531,102.94000244140625,-0.44,0.35
2020-03-05,78.75,93.72000122070312,88.97000122070312,102.86000061035156,-0.48,0.33
2020-03-06,77.27999877929688,92.3499984741211,87.12000274658203,102.5999984741211,-0.57,0.25
2020-03-09,69.9800033569336,85.8499984741211,79.47000122070312,101.15499877929688,-0.45,0.16
2020-03-10,73.66000366210938,90.29000091552734,83.08999633789062,100.27999877929688,-0.24,0.26
2020-03-11,69.62000274658203,85.8499984741211,78.51000213623047,99.18099975585938,-0.14,0.32
2020-03-12,61.72999954223633,77.80999755859375,70.7300033569336,97.08999633789062,-0.04,0.38
2020-03-13,67.86000061035156,84.86000061035156,76.27999877929688,98.34100341796875,0.04,0.45
2020-03-16,59.25,76.22000122070312,65.91000366210938,96.9219970703125,0.0,0.37
2020-03-17,62.459999084472656,79.54000091552734,70.3499984741211,95.44999694824219,0.39,0.55
2020-03-18,59.4900016784668,76.12000274658203,64.80000305175781,93.5,0.55,0.64
2020-03-19,59.20000076293945,76.13999938964844,66.31999969482422,91.26000213623047,0.62,0.68
2020-03-20,56.52000045776367,72.05999755859375,63.29999923706055,90.88999938964844,0.17,0.55
2020-03-23,55.33000183105469,69.27999877929688,61.43000030517578,92.70500183105469,-0.04,0.48
2020-03-24,60.880001068115234,76.45999908447266,67.69999694824219,93.9000015258789,-0.13,0.46
2020-03-25,61.04999923706055,77.66999816894531,69.04000091552734,95.53900146484375,-0.19,0.54
2020-03-26,64.98999786376953,82.02999877929688,73.16999816894531,96.59500122070312,-0.24,0.53
2020-03-27,62.529998779296875,79.4800033569336,70.9800033569336,96.26000213623047,-0.22,0.47
