Local Area,Source,Region,NAICS,Notice Link,Affected Occupation,Date Received,Union,Comments,Workforce Area,Affected Occupations,County,Projected Dates,Projected Date,Employees,County: Local  Name,NAICS Code,Notice URL,Company Contact,Closure or Layoff?,Company Address,Closure/Layoff,Location,NAICS/SIC,NEG,NAFTA/Trade,Industry,Congressional ,County/Counties,Trade,Company Name,SIC
,,Kentuckianaworks,,WARN,,2021-02-02 00:00:00,,,,,Bullitt,,2021-04-03 00:00:00,155.0,,541614.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000x8nG/8xNnt4NvQPPFlfzCsC307BQT_S81xBMSQxxOG4XCDxE,,Closure,,,,,,,,,,No,Bluegrass Supply Chain and Services,
,,Kentuckianaworks,,WARN,,2021-01-06 00:00:00,,,,,Jefferson,,2021-03-07 00:00:00,102.0,,511110.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000001Jr6G/F8iIvvIAmehp5Cyl1cbLZC5DwiFBinbY.M2QsLwsawQ,,Closure,,,,,,,,,,No,Courier-Journal,
,,Kentuckiana Works,,WARN,,2020-12-14 00:00:00,,,,,,,2021-02-15 00:00:00,52.0,Jefferson County - Louisville,423450.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000001J5hp/HTSYn1Ty0ngEcyklKtQRa1l18uB._PJlDxyEtOIB_bM,,Layoff,,,,,,,,,,No,MCKESSON CORPORATION,
,,South Central,,WARN,,2020-12-07 00:00:00,,,,,,,2021-02-01 00:00:00,52.0,Warren,561612.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000001J4Tf/ofIVhdzEXzuDJNh_P1_HgWkQfJlOhvDOl4biV7PsguI,,Layoff,,,,,,,,,,No,Universal Protection Services,
,,Northern Kentucky,,WARN,,2020-10-26 00:00:00,,,,,,,2020-11-01 00:00:00,19.0,Boone,30354.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000001EQiQ/TGgsZJQzSKzsAcVwHx4a0UdHKi7tgaAKbdaPZWm483g,,Layoff,,,,,,,,,,No,"Delta Air Lines, Inc.",
,,Lincoln Trail,,WARN,,2020-10-19 00:00:00,,,,,,,2021-01-15 00:00:00,82.0,Grayson,333912.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000001EJGw/qyoEYfLWj8RKiEhJ.3dddnxJDkM9Nxg..t6OymQ4jr8,,Closure,,,,,,,,,,No,Campbell Hausfeld,
,,Bluegrass,,WARN,,2020-09-25 00:00:00,,,,,,,2020-03-13 00:00:00,100.0,Fayette,72172.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000001Duxy/OQSRyQ_.aYQHhrFXq8Tdiv.MgS0Rz2oZW0hbEdodBXY,,Layoff,,,,,,,,,,No,Central Bank Center/Lexington Center Corporation/Rupp Arena,
,,Kentuckiana Works,,WARN,,2020-09-23 00:00:00,,,,,,,2020-03-17 00:00:00,294.0,Jefferson County - Louisville,721110.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000001DsAc/VBX3AB_6wodTw6SXAtFGoYfEaBMIRx8Y1R1QDhgqJho,,Layoff,,,,,,,,,,No,Omni Hotels & Resorts,
,,Northern Kentucky,,WARN,,2020-09-23 00:00:00,,,,,,,2020-05-22 00:00:00,164.0,Kenton,325211.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000001DsDM/G0wP5hdwHVxpG7glqsx.P.Bu.ufe7zp6pACAhUX6gDA,,Layoff,,,,,,,,,,No,Meggitt Polymers and Composites - Erlanger,
,,Northern Kentucky,,WARN,,2020-09-22 00:00:00,,,,,,,2020-10-04 00:00:00,55.0,Boone,53211.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000001DqPA/bmdB.BdriuOm7hlJI1HXUxc1R5SCAgVbFzcNW1pbcAQ,,Layoff,,,,,,,,,,No,ABM c/o The Hertz Corporation - CVG,
,,Northern Kentucky,,WARN,,2020-09-21 00:00:00,,,,,,,2020-10-31 00:00:00,239.0,Boone,336370.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000001DoVB/H.QVq0_6zu19zklgpOdXjY9QZmQJ4BM_x9lPfDnecnk,,Closure,,,,,,,,,,No,"Eagle Manufacturing, LLC",
,,Bluegrass,,WARN,,2020-09-18 00:00:00,,,,,,,2020-03-15 00:00:00,75.0,Fayette,722511.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000001DnAi/PsQ06rfrLt2A8hC1UKmSPXyLtRhTdP2bt3fWa.P3Mao,,Layoff,,,,,,,,,,No,"P.F. CHANG'S CHINA BISTRO, INC.",
,,Kentuckiana Works,,WARN,,2020-09-18 00:00:00,,,,,,,2020-03-15 00:00:00,75.0,Jefferson County - Louisville,722511.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000001Dn9p/B92tz6zaPaYm5.lAsW0F6GS2hq_bm.DPaGZFyNbmJNI,,Layoff,,,,,,,,,,No,"P.F. CHANG'S CHINA BISTRO, INC.",
,,Northern Kentucky,,WARN,,2020-09-18 00:00:00,,,,,,,2020-03-18 00:00:00,133.0,Kenton,81293.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000001Dmuz/FVfq9f.lPAdpQ3QnRCd4yGa1vDq5UJTw6FN4nWQ9jjU,,Layoff,,,,,,,,,,No,SP+/Standard Parking/Central Parking,
,,Kentuckiana Works,,WARN,,2020-09-16 00:00:00,,,,,,,2020-09-14 00:00:00,28.0,Jefferson County - Louisville,721110.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000001DmUR/W7wNzTrGsPQcC_Whhv4FaDh4d8zrJLgCMZQUuACbuNc,,Layoff,,,,,,,,,,No,AJS/Galt House Hotel & Suites,
,,Kentuckiana Works,,WARN,,2020-09-14 00:00:00,,,,,,,2020-10-04 00:00:00,32.0,Jefferson County - Louisville,722511.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000001DmRS/4m5PmoOb2VrPWUWoR3oEnbSMToWcK.6PuVPBgBEaJZ8,,Layoff,,,,,,,,,,No,STEEL CITY POPS LKY LLC,
,,Bluegrass,,WARN,,2020-09-08 00:00:00,,,,,,,2020-03-15 00:00:00,102.0,Fayette,721110.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000001Dt8x/oXzy.LnrHOXhtjB2blGPzrD5O5IVCnG_BQiULZXMYb0,,Layoff,,,,,,,,,,No,Lexington Hyatt,
,,Kentuckiana Works,,WARN,,2020-09-02 00:00:00,,,,,,,2020-10-31 00:00:00,293.0,Jefferson County - Louisville,561720.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000nXqL/60wOB.ZYyAFW_S_R8hleRIp7jxvj5pSKHPafgMy.D34,,Layoff,,,,,,,,,,No,LEADEC CORP,
