Date,DEFAULT,QUALITY,MOMENTUM,BOOK_TO_PRICE,SIZE,CASH_TO_ASSETS
5/7/10,-0.0102,0.0127,-0.0114,-0.0035,-0.0042,-0.0068
5/10/10,0.0189,-0.0268,0.026,-0.0014,-0.0026,0.0028
5/11/10,0.0013,-0.0003,0.0028,0.0017,0.0117,-0.0013
5/12/10,0.0109,-0.0108,0.0129,-0.0026,0.0069,0.0069
5/13/10,-0.0017,-0.0009,-0.0051,0.0033,0.0087,-0.0029
5/14/10,-0.0112,0.014,-0.0129,-0.0014,0.0002,-0.0034
5/17/10,-0.0031,0.015,-0.0061,-0.0071,-0.0042,0.0144
5/18/10,-0.0111,0.0104,-0.0088,-0.002,-0.0017,-0.0059
5/19/10,-0.0041,0.0079,-0.0064,-0.0055,-0.0104,0.0062
5/20/10,-0.0149,0.0256,-0.0126,-0.0013,-0.004,0.0093
5/21/10,0.0113,-0.02,0.0151,0.0014,-0.007,-0.0037
5/24/10,-0.0095,0.0109,0.0035,1.00E-04,0.0048,0.0052
5/25/10,0.0096,-0.0123,0.0045,-0.0033,-0.0105,-0.0035
5/26/10,0.0068,-0.0098,0.0054,0.0068,0.0072,-0.0016
5/27/10,0.0166,-0.0284,0.0197,-0.0008,-0.0003,-0.0049
5/28/10,-0.0071,0.0078,-0.0032,0.0015,0.005,-0.0049
6/2/10,0.0132,-0.0186,0.0061,-0.0088,-0.0068,-0.0038
6/3/10,-0.0018,-0.0023,0.0002,-0.003,-0.0019,0.0018
6/4/10,-0.0206,0.0219,-0.0131,0.0051,0.0014,0.0036
6/7/10,-0.022,0.0247,-0.0127,-0.0029,-0.0095,-0.0144
6/8/10,0.0031,-0.0075,-0.0036,-0.0085,-0.0172,-0.016
6/9/10,-0.002,-0.0061,0.0037,0.0006,0.0011,-0.0045
6/10/10,0.0179,-0.0194,0.0095,-0.004,-0.0084,-0.0062
6/11/10,0.0056,-0.0076,0.0059,-0.0006,0.0059,0.0062
6/14/10,0.0032,-0.0051,0.0055,0.002,0.0041,-0.0068
6/15/10,0.0156,-0.0126,0.0045,-0.0014,-0.0053,0.0041
6/16/10,-0.0071,0.0061,0.0015,-0.0013,-0.0003,0.0028
6/17/10,-0.0123,0.0128,0.0002,-0.0021,-1.00E-04,0.0001
6/18/10,0.001,0.0003,-0.0009,0.0047,0.0041,0.002
6/21/10,-0.001,-0.0026,-0.0023,-0.0007,-0.0073,0.0015
6/22/10,-0.013,0.02,-0.0062,-0.0026,0.0054,0.0114
6/23/10,0.0045,-0.0052,0.0002,-0.0012,-0.0013,0.0036
6/24/10,-0.0125,0.012,-0.0056,-0.0021,0.0052,-0.0031
6/25/10,0.0134,-0.0178,0.0064,-0.0033,0.0065,-0.0073
6/28/10,-0.0133,0.0143,-0.0026,-0.0033,-0.0055,0.0029
6/29/10,-0.0285,0.0285,-0.0196,-0.0014,0.0007,-0.0077
6/30/10,-0.0042,0.0054,-0.0035,0.002,0.0047,-0.0043
7/2/10,-0.0107,0.0167,-0.0072,-0.001,-0.0005,0.0043
7/6/10,-0.0009,0.0097,-0.0042,-0.0012,-0.0177,-0.0006
7/7/10,0.0249,-0.0277,0.0161,-0.0075,-0.016,0.0045
7/8/10,0.0085,-0.0046,0.0019,-1.00E-04,0.0026,-0.0028
7/9/10,0.0167,-0.0167,0.0057,0.0012,0.0072,0.0036
7/12/10,-0.0098,0.009,-0.0061,0.0029,-0.0046,0.0027
7/13/10,0.0169,-0.0188,0.005,-0.001,0.0096,0.0075
