Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency,,,,,,,,,,
S&P Global Inc.,SPGI,78409V10,BYV2325,0.363548,Financials,3811701,USD,,,,,,,,,,
Anthem Inc.,ANTM,03675210,BSPHGL4,0.361907,Health Care,2610008,USD,,,,,,,,,,
International Business Machines Corporation,IBM,45920010,2005973,0.357972,Information Technology,9664007,USD,,,,,,,,,,
Morgan Stanley,MS,61744644,2262314,0.351359,Financials,15276072,USD,,,,,,,,,,
American Tower Corporation,AMT,03027X10,B7FBFL2,0.338210,Real Estate,4907435,USD,,,,,,,,,,
Intuit Inc.,INTU,46120210,2459020,0.335588,Information Technology,3051483,USD,,,,,,,,,,
Caterpillar Inc.,CAT,14912310,2180201,0.335307,Industrials,5817862,USD,,,,,,,,,,
Oracle Corporation,ORCL,68389X10,2661568,0.329228,Information Technology,16978504,USD,,,,,,,,,,
Goldman Sachs Group Inc.,GS,38141G10,2407966,0.319717,Financials,3650878,USD,,,,,,,,,,
Lockheed Martin Corporation,LMT,53983010,2522096,0.316612,Industrials,2611795,USD,,,,,,,,,,
Citigroup Inc.,C,17296742,2297907,0.312336,Financials,21339520,USD,,,,,,,,,,
Charles Schwab Corp,SCHW,80851310,2779397,0.301114,Financials,16169503,USD,,,,,,,,,,
Applied Materials Inc.,AMAT,03822210,2046552,0.297952,Information Technology,9568958,USD,,,,,,,,,,
American Express Company,AXP,02581610,2026082,0.296591,Financials,6627980,USD,,,,,,,,,,
Altria Group Inc,MO,02209S10,2692632,0.289705,Consumer Staples,19644442,USD,,,,,,,,,,
Deere & Company,DE,24419910,2261203,0.284177,Industrials,3022046,USD,,,,,,,,,,
PayPal Holdings Inc.,PYPL,70450Y10,BYW36M8,0.273196,Information Technology,12554230,USD,,,,,,,,,,
BlackRock Inc.,BLK,09247X10,2494504,0.270777,Financials,1533738,USD,,,,,,,,,,
Automatic Data Processing Inc.,ADP,05301510,2065308,0.267312,Information Technology,4525682,USD,,,,,,,,,,
Booking Holdings Inc.,BKNG,09857L10,BDRXDB4,0.265999,Consumer Discretionary,442498,USD,,,,,,,,,,
ServiceNow Inc.,NOW,81762P10,B80NXX8,0.265282,Information Technology,2155262,USD,,,,,,,,,,
Prologis Inc.,PLD,74340W10,B44WZD7,0.264031,Real Estate,7974363,USD,,,,,,,,,,
Chubb Limited,CB,H1467J10,B3BQMF6,0.260367,Financials,4632644,USD,,,,,,,,,,
Cigna Corporation,CI,12552310,BHJ0775,0.253204,Health Care,3480097,USD,,,,,,,,,,
Duke Energy Corporation,DUK,26441C20,B7VD3F2,0.253071,Utilities,8259638,USD,,,,,,,,,,
Mondelez International Inc. Class A,MDLZ,60920710,B8CKK03,0.252891,Consumer Staples,14953175,USD,,,,,,,,,,
Analog Devices Inc.,ADI,03265410,2032067,0.251222,Information Technology,5661017,USD,,,,,,,,,,
Starbucks Corporation,SBUX,85524410,2842255,0.249853,Consumer Discretionary,12395580,USD,,,,,,,,,,
Netflix Inc.,NFLX,64110L10,2857817,0.247772,Communication Services,4783989,USD,,,,,,,,,,
General Electric Company,GE,36960430,BL59CR9,0.246859,Industrials,11846289,USD,,,,,,,,,,
3M Company,MMM,88579Y10,2595708,0.244864,Industrials,6154178,USD,,,,,,,,,,
Gilead Sciences Inc.,GILD,37555810,2369174,0.235813,Health Care,13517312,USD,,,,,,,,,,
Crown Castle International Corp,CCI,22822V10,BTGQCX1,0.235487,Real Estate,4640628,USD,,,,,,,,,,
Intuitive Surgical Inc.,ISRG,46120E60,2871301,0.232939,Health Care,3855075,USD,,,,,,,,,,
Southern Company,SO,84258710,2829601,0.232673,Utilities,11420593,USD,,,,,,,,,,
Marsh & McLennan Companies Inc.,MMC,57174810,2567741,0.231227,Financials,5439643,USD,,,,,,,,,,
Stryker Corporation,SYK,86366710,2853688,0.230011,Health Care,3618019,USD,,,,,,,,,,
Micron Technology Inc.,MU,59511210,2588184,0.229800,Information Technology,12028854,USD,,,,,,,,,,
Zoetis Inc. Class A,ZTS,98978V10,B95WG16,0.228447,Health Care,5088840,USD,,,,,,,,,,
EOG Resources Inc.,EOG,26875P10,2318024,0.228140,Energy,6305010,USD,,,,,,,,,,
Target Corporation,TGT,87612E10,2259101,0.228004,Consumer Discretionary,5163004,USD,,,,,,,,,,
T-Mobile US Inc.,TMUS,87259010,B94Q9V0,0.227259,Communication Services,6327005,USD,,,,,,,,,,
TJX Companies Inc,TJX,87254010,2989301,0.223000,Consumer Discretionary,12854596,USD,,,,,,,,,,
